"","recRank","college","recCommits","year","conference"
"256",31,"Maryland",20,"2018","Big Ten"
"257",32,"Oklahoma State",20,"2018","Big 12"
"258",33,"Ole Miss",22,"2018","SEC"
"259",34,"Michigan State",22,"2018","Big Ten"
"260",35,"West Virginia",20,"2018","Big 12"
"261",36,"Kentucky",23,"2018","SEC"
"262",37,"Vanderbilt",21,"2018","SEC"
"263",38,"Stanford",21,"2018","Pac-12"
"264",39,"Wisconsin",25,"2018","Big Ten"
"265",40,"Missouri",14,"2018","SEC"
"266",41,"Cincinnati",27,"2018","American"
"267",42,"Colorado",24,"2018","Pac-12"
"268",43,"Iowa",23,"2018","Big Ten"
"269",44,"Washington State",18,"2018","Pac-12"
"270",45,"Utah",17,"2018","Pac-12"
"271",46,"Purdue",23,"2018","Big Ten"
"272",47,"Arizona State",18,"2018","Pac-12"
"273",48,"Indiana",15,"2018","Big Ten"
"274",49,"Northwestern",17,"2018","Big Ten"
"275",50,"California",25,"2018","Pac-12"
"276",51,"Arkansas",26,"2018","SEC"
"277",52,"Syracuse",25,"2018","ACC"
"278",53,"Georgia Tech",24,"2018","ACC"
"279",54,"Illinois",25,"2018","Big Ten"
"280",55,"South Florida",25,"2018","American"
"281",56,"Pittsburgh",21,"2018","ACC"
"282",57,"Virginia",21,"2018","ACC"
"283",58,"Iowa State",24,"2018","Big 12"
"284",59,"Rutgers",24,"2018","Big Ten"
"285",60,"Wake Forest",20,"2018","ACC"
"286",61,"Duke",24,"2018","ACC"
"287",62,"Boston College",24,"2018","ACC"
"288",63,"Arizona",26,"2018","Pac-12"
"289",64,"Florida International",25,"2018","C-USA"
"290",65,"Oregon State",26,"2018","Pac-12"
"291",66,"Boise State",22,"2018","Mountain West"
"292",67,"Texas Tech",19,"2018","Big 12"
"293",68,"Kansas",23,"2018","Big 12"
"294",69,"Kansas State",21,"2018","Big 12"
"295",70,"UCF",25,"2018","American"
"296",71,"Toledo",27,"2018","MAC"
"297",72,"Tulane",21,"2018","American"
"298",73,"BYU",22,"2018","Independent"
"299",74,"Colorado State",30,"2018","Mountain West"
"300",75,"Houston",21,"2018","American"
"301",1,"Alabama",24,"2019","SEC"
"302",2,"Georgia",21,"2019","SEC"
"303",3,"Texas A&M",24,"2019","SEC"
"304",4,"Oklahoma",26,"2019","Big 12"
"305",5,"Texas",27,"2019","Big 12"
"306",6,"Oregon",27,"2019","Pac-12"
"307",7,"LSU",27,"2019","SEC"
"308",8,"Michigan",30,"2019","Big Ten"
"309",9,"Florida",28,"2019","SEC"
"310",10,"Clemson",25,"2019","ACC"
"311",11,"Tennessee",19,"2019","SEC"
"312",12,"Auburn",25,"2019","SEC"
"313",13,"Penn State",24,"2019","Big Ten"
